Produto,Data producao,OP,Descricao,Lote,Quantidade,Unidade,Maquina,Grupo de producao,Responsavel pesagem,Nome
1,01/01/2025,OP123,Produto A,1001,5000.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
2,02/01/2025,OP124,Produto B,1002,3000.0,UN,STZ_01,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
3,03/01/2025,OP125,Produto C,1003,4500.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
4,04/01/2025,OP126,Produto D,1004,6000.0,UN,COLAGEM_01,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
5,05/01/2025,OP127,Produto E,1005,5200.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
6,06/01/2025,OP128,Produto F,1006,4700.0,UN,STZ_02,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
7,07/01/2025,OP129,Produto G,1007,5100.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
8,08/01/2025,OP130,Produto H,1008,3200.0,UN,CABINE_01,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
9,09/01/2025,OP131,Produto I,1009,4300.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
10,10/01/2025,OP132,Produto J,1010,5900.0,UN,STZ_01,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
11,11/01/2025,OP133,Produto K,1011,4800.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
12,12/01/2025,OP134,Produto L,1012,4600.0,UN,COLAGEM_02,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
13,13/01/2025,OP135,Produto M,1013,5000.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
14,14/01/2025,OP136,Produto N,1014,3100.0,UN,STZ_02,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
15,15/01/2025,OP137,Produto O,1015,4400.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
16,16/01/2025,OP138,Produto P,1016,5800.0,UN,CABINE_01,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
17,17/01/2025,OP139,Produto Q,1017,4900.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
18,18/01/2025,OP140,Produto R,1018,4700.0,UN,STZ_01,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
19,19/01/2025,OP141,Produto S,1019,5100.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
20,20/01/2025,OP142,Produto T,1020,3200.0,UN,COLAGEM_01,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
21,21/01/2025,OP143,Produto U,1021,4300.0,UN,MAQUINA_X,CATEGORIA_X,FUNCIONARIO_X,Empresa_A
22,22/01/2025,OP144,Produto V,1022,5900.0,UN,STZ_02,CATEGORIA_Y,FUNCIONARIO_Y,Empresa_A
