Pedido,Situacao Aprovacao,Descricao,Cidade para Entrega,UF
2001,APROVADO,Produto A,Cidade A,SP
2002,APROVADO,Produto B,Cidade B,SP
2003,APROVADO,Produto C,Cidade A,SP
2004,APROVADO,Produto D,Cidade C,SP
2005,APROVADO,Produto E,Cidade A,SP
2006,APROVADO,Produto F,Cidade B,SP
2007,APROVADO,Produto G,Cidade A,SP
2008,APROVADO,Produto H,Cidade C,SP
2009,APROVADO,Produto I,Cidade A,SP
2010,APROVADO,Produto J,Cidade B,SP
2011,APROVADO,Produto K,Cidade A,SP
2012,APROVADO,Produto L,Cidade C,SP
2013,APROVADO,Produto M,Cidade A,SP
2014,APROVADO,Produto N,Cidade B,SP
2015,APROVADO,Produto O,Cidade A,SP
2016,APROVADO,Produto P,Cidade C,SP
2017,APROVADO,Produto Q,Cidade A,SP
2018,APROVADO,Produto R,Cidade B,SP
2019,APROVADO,Produto S,Cidade A,SP
2020,APROVADO,Produto T,Cidade C,SP
2021,APROVADO,Produto U,Cidade A,SP
2022,APROVADO,Produto V,Cidade B,SP
