Codigo,Descricao,Und.Estoque,Espessura,Largura,Comprimento,Descricao.1,Descricao.2,Grupo de producao,Quantidade atual
101,Produto W,UN,0.43,1200.0,1000,CATEGORIA_X,MATERIAL_X,CATEGORIA_X,4800.0
102,Produto X,UN,0.50,1000.0,800,CATEGORIA_Y,MATERIAL_Y,CATEGORIA_Y,2900.0
103,Produto Y,UN,0.65,1100.0,900,CATEGORIA_X,MATERIAL_Z,CATEGORIA_X,4300.0
104,Produto Z,UN,0.38,1300.0,1200,CATEGORIA_Y,MATERIAL_W,CATEGORIA_Y,5700.0
105,Produto AA,UN,0.47,1250.0,1000,CATEGORIA_X,MATERIAL_V,CATEGORIA_X,5000.0
106,Produto AB,UN,0.60,1150.0,1100,CATEGORIA_Y,MATERIAL_X,CATEGORIA_Y,4500.0
107,Produto AC,UN,0.43,1200.0,1000,CATEGORIA_X,MATERIAL_Y,CATEGORIA_X,4900.0
108,Produto AD,UN,0.50,1000.0,800,CATEGORIA_Y,MATERIAL_Z,CATEGORIA_Y,3100.0
109,Produto AE,UN,0.65,1100.0,900,CATEGORIA_X,MATERIAL_W,CATEGORIA_X,4200.0
110,Produto AF,UN,0.38,1300.0,1200,CATEGORIA_Y,MATERIAL_V,CATEGORIA_Y,5800.0
111,Produto AG,UN,0.47,1250.0,1000,CATEGORIA_X,MATERIAL_X,CATEGORIA_X,4700.0
112,Produto AH,UN,0.60,1150.0,1100,CATEGORIA_Y,MATERIAL_Y,CATEGORIA_Y,4600.0
113,Produto AI,UN,0.43,1200.0,1000,CATEGORIA_X,MATERIAL_Z,CATEGORIA_X,4800.0
114,Produto AJ,UN,0.50,1000.0,800,CATEGORIA_Y,MATERIAL_W,CATEGORIA_Y,3000.0
115,Produto AK,UN,0.65,1100.0,900,CATEGORIA_X,MATERIAL_V,CATEGORIA_X,4300.0
116,Produto AL,UN,0.38,1300.0,1200,CATEGORIA_Y,MATERIAL_X,CATEGORIA_Y,5700.0
117,Produto AM,UN,0.47,1250.0,1000,CATEGORIA_X,MATERIAL_Y,CATEGORIA_X,4800.0
118,Produto AN,UN,0.60,1150.0,1100,CATEGORIA_Y,MATERIAL_Z,CATEGORIA_Y,4500.0
119,Produto AO,UN,0.43,1200.0,1000,CATEGORIA_X,MATERIAL_W,CATEGORIA_X,4900.0
120,Produto AP,UN,0.50,1000.0,800,CATEGORIA_Y,MATERIAL_V,CATEGORIA_Y,3100.0
121,Produto AQ,UN,0.65,1100.0,900,CATEGORIA_X,MATERIAL_X,CATEGORIA_X,4200.0
122,Produto AR,UN,0.38,1300.0,1200,CATEGORIA_Y,MATERIAL_Y,CATEGORIA_Y,5800.0
