Produto,Data producao,OP,Descricao,Lote,Quantidade,Unidade,Maquina,Grupo de producao,Responsavel pesagem,Nome
101,01/01/2025,OP223,Produto W,2001,4800.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
102,02/01/2025,OP224,Produto X,2002,2900.0,UN,STZ_03,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
103,03/01/2025,OP225,Produto Y,2003,4300.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
104,04/01/2025,OP226,Produto Z,2004,5700.0,UN,COLAGEM_03,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
105,05/01/2025,OP227,Produto AA,2005,5000.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
106,06/01/2025,OP228,Produto AB,2006,4500.0,UN,STZ_04,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
107,07/01/2025,OP229,Produto AC,2007,4900.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
108,08/01/2025,OP230,Produto AD,2008,3100.0,UN,CABINE_02,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
109,09/01/2025,OP231,Produto AE,2009,4200.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
110,10/01/2025,OP232,Produto AF,2010,5800.0,UN,STZ_03,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
111,11/01/2025,OP233,Produto AG,2011,4700.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
112,12/01/2025,OP234,Produto AH,2012,4600.0,UN,COLAGEM_04,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
113,13/01/2025,OP235,Produto AI,2013,4800.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
114,14/01/2025,OP236,Produto AJ,2014,3000.0,UN,STZ_04,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
115,15/01/2025,OP237,Produto AK,2015,4300.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
116,16/01/2025,OP238,Produto AL,2016,5700.0,UN,CABINE_02,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
117,17/01/2025,OP239,Produto AM,2017,4800.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
118,18/01/2025,OP240,Produto AN,2018,4500.0,UN,STZ_03,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
119,19/01/2025,OP241,Produto AO,2019,4900.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
120,20/01/2025,OP242,Produto AP,2020,3100.0,UN,COLAGEM_03,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
121,21/01/2025,OP243,Produto AQ,2021,4200.0,UN,MAQUINA_Y,CATEGORIA_X,FUNCIONARIO_Z,Empresa_B
122,22/01/2025,OP244,Produto AR,2022,5800.0,UN,STZ_04,CATEGORIA_Y,FUNCIONARIO_W,Empresa_B
