Nota,Pedido,Razao Social,Produto,Descricao,Vlr.Total Produtos,Peso Liquido,Quantidade,Und,Valor unitario,Total Liquido,Faturamento,Cidade,UF,Nome,Empresa,Descricao.1,Descricao.2,Espessura,Largura,% Comissao,Nome.1
2001,3001,CLIENTE_W,101,Produto W,96000.0,4800.0,96.0,UN,1000.0,91000.0,01/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_X,0.43,1200.0,5.0,TIPO_D
2002,3002,CLIENTE_X,102,Produto X,58000.0,2900.0,58.0,UN,1000.0,54000.0,02/01/2025,Cidade E,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_Y,0.50,1000.0,4.0,TIPO_E
2003,3003,CLIENTE_W,103,Produto Y,86000.0,4300.0,86.0,UN,1000.0,81000.0,03/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_Z,0.65,1100.0,5.0,TIPO_D
2004,3004,CLIENTE_Y,104,Produto Z,114000.0,5700.0,114.0,UN,1000.0,109000.0,04/01/2025,Cidade F,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_W,0.38,1300.0,3.0,TIPO_F
2005,3005,CLIENTE_W,105,Produto AA,100000.0,5000.0,100.0,UN,1000.0,95000.0,05/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_V,0.47,1250.0,5.0,TIPO_D
2006,3006,CLIENTE_X,106,Produto AB,90000.0,4500.0,90.0,UN,1000.0,85000.0,06/01/2025,Cidade E,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_X,0.60,1150.0,4.0,TIPO_E
2007,3007,CLIENTE_W,107,Produto AC,98000.0,4900.0,98.0,UN,1000.0,93000.0,07/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_Y,0.43,1200.0,5.0,TIPO_D
2008,3008,CLIENTE_Y,108,Produto AD,62000.0,3100.0,62.0,UN,1000.0,58000.0,08/01/2025,Cidade F,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_Z,0.50,1000.0,3.0,TIPO_F
2009,3009,CLIENTE_W,109,Produto AE,84000.0,4200.0,84.0,UN,1000.0,79000.0,09/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_W,0.65,1100.0,5.0,TIPO_D
2010,3010,CLIENTE_X,110,Produto AF,116000.0,5800.0,116.0,UN,1000.0,111000.0,10/01/2025,Cidade E,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_V,0.38,1300.0,4.0,TIPO_E
2011,3011,CLIENTE_W,111,Produto AG,94000.0,4700.0,94.0,UN,1000.0,89000.0,11/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_X,0.47,1250.0,5.0,TIPO_D
2012,3012,CLIENTE_Y,112,Produto AH,92000.0,4600.0,92.0,UN,1000.0,87000.0,12/01/2025,Cidade F,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_Y,0.60,1150.0,3.0,TIPO_F
2013,3013,CLIENTE_W,113,Produto AI,96000.0,4800.0,96.0,UN,1000.0,91000.0,13/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_Z,0.43,1200.0,5.0,TIPO_D
2014,3014,CLIENTE_X,114,Produto AJ,60000.0,3000.0,60.0,UN,1000.0,56000.0,14/01/2025,Cidade E,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_W,0.50,1000.0,4.0,TIPO_E
2015,3015,CLIENTE_W,115,Produto AK,86000.0,4300.0,86.0,UN,1000.0,81000.0,15/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_V,0.65,1100.0,5.0,TIPO_D
2016,3016,CLIENTE_Y,116,Produto AL,114000.0,5700.0,114.0,UN,1000.0,109000.0,16/01/2025,Cidade F,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_X,0.38,1300.0,3.0,TIPO_F
2017,3017,CLIENTE_W,117,Produto AM,96000.0,4800.0,96.0,UN,1000.0,91000.0,17/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_Y,0.47,1250.0,5.0,TIPO_D
2018,3018,CLIENTE_X,118,Produto AN,90000.0,4500.0,90.0,UN,1000.0,85000.0,18/01/2025,Cidade E,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_Z,0.60,1150.0,4.0,TIPO_E
2019,3019,CLIENTE_W,119,Produto AO,98000.0,4900.0,98.0,UN,1000.0,93000.0,19/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_W,0.43,1200.0,5.0,TIPO_D
2020,3020,CLIENTE_Y,120,Produto AP,62000.0,3100.0,62.0,UN,1000.0,58000.0,20/01/2025,Cidade F,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_V,0.50,1000.0,3.0,TIPO_F
2021,3021,CLIENTE_W,121,Produto AQ,84000.0,4200.0,84.0,UN,1000.0,79000.0,21/01/2025,Cidade D,SP,Empresa_B,Empresa_B,CATEGORIA_X,MATERIAL_X,0.65,1100.0,5.0,TIPO_D
2022,3022,CLIENTE_X,122,Produto AR,116000.0,5800.0,116.0,UN,1000.0,111000.0,22/01/2025,Cidade E,SP,Empresa_B,Empresa_B,CATEGORIA_Y,MATERIAL_Y,0.38,1300.0,4.0,TIPO_E
