Pedido,Situacao Aprovacao,Descricao,Cidade para Entrega,UF
3001,APROVADO,Produto W,Cidade D,SP
3002,APROVADO,Produto X,Cidade E,SP
3003,APROVADO,Produto Y,Cidade D,SP
3004,APROVADO,Produto Z,Cidade F,SP
3005,APROVADO,Produto AA,Cidade D,SP
3006,APROVADO,Produto AB,Cidade E,SP
3007,APROVADO,Produto AC,Cidade D,SP
3008,APROVADO,Produto AD,Cidade F,SP
3009,APROVADO,Produto AE,Cidade D,SP
3010,APROVADO,Produto AF,Cidade E,SP
3011,APROVADO,Produto AG,Cidade D,SP
3012,APROVADO,Produto AH,Cidade F,SP
3013,APROVADO,Produto AI,Cidade D,SP
3014,APROVADO,Produto AJ,Cidade E,SP
3015,APROVADO,Produto AK,Cidade D,SP
3016,APROVADO,Produto AL,Cidade F,SP
3017,APROVADO,Produto AM,Cidade D,SP
3018,APROVADO,Produto AN,Cidade E,SP
3019,APROVADO,Produto AO,Cidade D,SP
3020,APROVADO,Produto AP,Cidade F,SP
3021,APROVADO,Produto AQ,Cidade D,SP
3022,APROVADO,Produto AR,Cidade E,SP
